id;first_name;last_name;email;phone_number;join_date;point_amount
1;Rowland;Gleichner;Jazmyne_Dach@gmail.com;Configuration UIC-Franc;2019-11-12T00:01:58;7041
2;Avis;Ebert;Marcus.Zboncak@yahoo.com;Bedfordshire;2019-11-11T16:39:27;32255
3;Name;Stanton;Bridie.Prohaska55@hotmail.com;protocol;2019-11-12T03:38:23;81011
4;Deshaun;Streich;Tate.Bode@yahoo.com;Auto Loan Account olive;2019-11-12T12:00:42;70196
5;Gracie;Schinner;Sierra.Torphy@gmail.com;California interfaces;2019-11-11T21:35:09;3594
6;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-11-12T12:46:56;82260
7;Ellen;Herzog;Brandy_Hane@yahoo.com;composite Orchestrator Club;2019-11-11T17:30:21;5168
8;Clemmie;Lehner;Kamron.Price@yahoo.com;Frozen Analyst card;2019-11-12T12:43:43;79518
9;Grayce;Glover;Ibrahim25@yahoo.com;Chips;2019-11-12T11:46:24;83598
10;Hilario;Powlowski;Hailie91@hotmail.com;ROI;2019-11-12T07:57:34;54922
